2023-10-29 02:24:09: [200122][bbbbbbbb][6|2206|2512]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:42:47: [203631][Lolkik5][5|5249|3409]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:42:47: [203636][Lolkik4][5|5241|3409]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:42:47: [203633][Lolkik2][5|5247|3409]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:42:48: [203634][Lolkik3][5|5254|3414]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:42:57: [202283][laoyam][107|5839|6010]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :76274| ĐỒNG  :0| ĐỒNG KHÓA :100
2023-10-29 00:42:57: [203635][VuiVe17][5|8126|3344]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :6000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203616][jhgtyrsdf1a][5|5252|3453]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203617][jhgtyrsdf15][5|5648|3554]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203615][jhgtyrsdf1][5|5646|3550]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203618][jhgtyrsdf14][5|5252|3452]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203614][jhgtyrsdf13][5|5650|3556]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203620][jhgtyrsdf16][5|5257|3461]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203619][jhgtyrsdf12][5|5252|3457]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203624][jhgtyrsdf1f][5|5244|3466]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203622][jhgtyrsdf17][5|5250|3453]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203625][jhgtyrsdf1s][5|5247|3449]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203621][jhgtyrsdf1d][5|5255|3461]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:43:38: [203623][jhgtyrsdf1z][5|5246|3449]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:44:03: [203638][VuiVe18][5|8040|3360]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :20000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:44:52: [203428][testtdc08][23|6754|3590]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:44:55: [203423][testtdc20][23|6754|3590]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:06: [203649][VuiVe19][5|8103|3337]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :10000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203640][juhyuh][5|5246|3426]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203645][juhyuh9][5|5243|3423]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203644][juhyuh5][5|5245|3407]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203643][juhyuh1][5|5244|3424]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203642][juhyuh6][5|5245|3407]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203641][juhyuh8][5|5241|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203639][juhyuh7][5|5244|3424]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203646][juhyuh4][5|5243|3423]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203648][juhyuh2][5|5215|3395]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:23: [203647][juhyuh3][5|5244|3424]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:45:38: [201579][Smilee][108|3303|3883]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :60826| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:46:14: [200126][tansat][224|8527|2888]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :48762| BẠC KHÓA :209588| ĐỒNG  :0| ĐỒNG KHÓA :3775
2023-10-29 00:46:24: [203308][sasesa][34|4835|4187]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :102318| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:46:52: [203651][VuiVe20][5|8060|3360]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :50000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:11: [203454][ThichChoiGai][95|7686|4238]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :191194| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-29 00:47:17: [203655][trtryr8][5|5241|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:17: [203652][trtryr6][5|5241|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:17: [203657][trtryr5][5|5246|3426]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:17: [203653][trtryr9][5|5242|3422]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:17: [203656][trtryr1][5|5246|3426]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:17: [203658][trtryr7][5|5246|3426]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:17: [203654][trtryr][5|5240|3420]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:17: [203659][trtryr2][5|5241|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:17: [203660][trtryr3][5|5244|3424]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:18: [203661][trtryr4][5|5241|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:23: [202536][CBtest][299|1192|2062]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :6500| ĐỒNG  :0| ĐỒNG KHÓA :500
2023-10-29 00:47:57: [202319][Hdudgdg][5|6275|3241]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :1200| BẠC KHÓA :150000| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-29 00:47:58: [203662][fsdddgfd12][5|5240|3460]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203665][fsdddgfd15][5|5252|3453]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203664][fsdddgfd17][5|5243|3465]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203667][fsdddgfd1][5|5231|3432]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203650][dfshgfj1][5|5242|3464]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203666][fsdddgfd13][5|5242|3463]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203663][fsdddgfd14][5|5634|3557]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203670][fsdddgfd1s][5|5215|3395]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203669][fsdddgfd1d][5|5229|3429]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203668][fsdddgfd1x][5|5217|3418]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203671][fsdddgfd16][5|5228|3428]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:47:58: [203672][fsdddgfd1a][5|5237|3418]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:48:01: [203673][VuiVe21][5|8107|3399]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :30000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:48:10: [200347][zZzKirazZz][109|4061|2136]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :1500| BẠC KHÓA :120908| ĐỒNG  :0| ĐỒNG KHÓA :3800
2023-10-29 00:48:58: [200001][<color=#0486dc>[GM]</color> AdminHaoKiem][5|5273|3480]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:49:02: [203679][oituoiu5][5|5245|3425]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:02: [203676][oituoiu1][5|5243|3423]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:02: [203680][oituoiu][5|5247|3427]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:02: [203677][oituoiu6][5|5241|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:02: [203674][oituoiu9][5|5244|3424]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:02: [203675][oituoiu7][5|5249|3411]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:02: [203678][oituoiu8][5|5244|3424]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:02: [203683][oituoiu3][5|5244|3406]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:02: [203681][oituoiu4][5|5256|3422]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:02: [203682][oituoiu2][5|5243|3423]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:03: [201212][SayThuocLao][224|4901|2699]  HOẠT LỰC :7500 | TINH LỰC :7500| BẠC :151500| BẠC KHÓA :279915| ĐỒNG  :10000| ĐỒNG KHÓA :14625
2023-10-29 00:49:06: [203684][VuiVe22][5|8083|3364]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :30000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:45: [203523][PhiPhi][109|3776|2243]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :102188| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203686][jgktryg1][5|5240|3449]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203690][jgktryg12][5|5252|3457]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203688][jgktryg16][5|5235|3438]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203691][jgktryg13][5|5244|3447]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203692][jgktryg14][5|5249|3451]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203689][jgktryg1a][5|5239|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203693][jgktryg1s][5|5243|3467]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203687][jgktryg15][5|5250|3455]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203695][jgktryg1v][5|5244|3467]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203694][jgktryg1d][5|5231|3433]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203697][jgktryg17][5|5246|3468]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:49:46: [203696][jgktryg1f][5|5244|3446]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:50:02: [203308][sasesa][34|6378|3566]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :102318| ĐỒNG  :0| ĐỒNG KHÓA :2000
2023-10-29 00:50:06: [203698][VuiVe23][5|8080|3380]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :80000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:51:06: [203699][VuiVe24][5|8100|3380]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :10000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:07: [203149][SatThu2][107|6860|5140]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :58220| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:07: [203148][SatThu4][107|7169|5175]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :48100| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:07: [203158][SatThu1][107|6884|5146]  HOẠT LỰC :500 | TINH LỰC :0| BẠC :0| BẠC KHÓA :57980| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:07: [203157][SatThu3][107|7208|5124]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :57980| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:09: [203710][VuiVe25][5|8042|3353]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :10000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:10: [203306][Giatoc1][341|1344|1080]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :162531| ĐỒNG  :0| ĐỒNG KHÓA :4150
2023-10-29 00:52:29: [203714][gdfjkky14][5|5252|3459]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:29: [203716][gdfjkky15][5|5250|3452]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:29: [203717][gdfjkky16][5|5254|3455]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:29: [203712][gdfjkky18][5|5234|3421]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:29: [203713][gdfjkky13][5|5227|3407]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:30: [203711][gdfjkky1][5|5232|3435]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:30: [203715][gdfjkky12][5|5254|3455]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:30: [203720][gdfjkky17][5|5243|3443]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:30: [203722][gdfjkky1s][5|5233|3413]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:30: [203721][gdfjkky1x][5|5238|3420]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:30: [203718][gdfjkky1a][5|5251|3452]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:30: [203719][gdfjkky19][5|5248|3450]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:52:50: [200393][caychay][10|3643|3911]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :1500| BẠC KHÓA :215954| ĐỒNG  :0| ĐỒNG KHÓA :3425
2023-10-29 00:52:59: [200165][WaSaBi][107|3248|5471]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :94617| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-29 00:53:09: [203706][qweqwe19][5|5249|3409]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:09: [203704][qweqwe16][5|5215|3395]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:09: [203705][qweqwe1][5|5246|3408]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:09: [203701][qweqwe18][5|5242|3422]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:09: [203702][qweqwe10][5|5235|3408]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:09: [203703][qweqwe17][5|5244|3424]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:09: [203700][qweqwe12][5|5246|3408]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:09: [203708][qweqwe15][5|5245|3425]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:09: [203707][qweqwe13][5|5249|3429]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:09: [203709][qweqwe14][5|5243|3423]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:13: [203724][VuiVe26][5|8391|3213]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :10000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:53:15: [202348][Hdjdhh][5|6307|3225]  HOẠT LỰC :120 | TINH LỰC :120| BẠC :1200| BẠC KHÓA :150000| ĐỒNG  :0| ĐỒNG KHÓA :4000
2023-10-29 00:53:36: [203421][testtdc31][307|1763|2894]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:54:13: [203738][VuiVe27][5|8034|3353]  HOẠT LỰC :0 | TINH LỰC :0| BẠC :0| BẠC KHÓA :80000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:54:17: [203727][vxvfgfdg1a][5|5250|3453]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:54:17: [203730][vxvfgfdg13][5|5254|3456]  HOẠT LỰC :2500 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:54:17: [203728][vxvfgfdg15][5|5241|3443]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:54:17: [203731][vxvfgfdg16][5|5252|3455]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:54:17: [203726][vxvfgfdg14][5|5254|3455]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
2023-10-29 00:54:17: [203732][vxvfgfdg12][5|5650|3554]  HOẠT LỰC :5000 | TINH LỰC :5000| BẠC :0| BẠC KHÓA :100000| ĐỒNG  :0| ĐỒNG KHÓA :0
